1	603999	57600
2	603998	43094
3	603997	63000
4	603996	30015
5	603993	2159925
6	603991	7454
7	603990	8093
8	603989	30000
9	603988	8000
10	603987	31544
11	603986	20270
12	603985	8000
13	603980	50000
14	603979	58500
15	603978	8000
16	603977	22108
17	603976	10800
18	603969	40000
19	603968	20448
20	603966	16000
21	603960	10400
22	603959	22400
23	603958	21736
24	603955	8700
25	603939	36270
26	603938	15017
27	603936	16735
28	603933	10267
29	603929	21336
30	603928	20160
31	603926	12000
32	603920	40180
33	603919	36400
34	603918	17733
35	603909	10000
36	603908	6669
37	603906	20800
38	603903	10244
39	603901	40000
40	603900	24320
41	603899	92000
42	603898	31812
43	603896	13980
44	603889	39366
45	603888	51903
46	603887	10300
47	603886	24000
48	603885	179702
49	603883	26700
50	603881	21059
51	603880	10000
52	603879	14400
53	603878	20200
54	603877	48094
55	603869	34881
56	603868	43560
57	603866	45013
58	603861	40910
59	603860	6668
60	603859	11356
61	603858	68180
62	603855	33107
63	603843	40001
64	603839	28504
65	603838	26668
66	603833	42060
67	603828	33026
68	603826	36000
69	603825	16000
70	603823	22500
71	603822	7335
72	603819	12000
73	603818	48412
74	603817	45000
75	603816	41250
76	603811	8520
77	603808	33731
78	603806	40200
79	603803	42106
80	603801	16000
81	603800	20800
82	603799	59268
83	603798	20000
84	603797	21334
85	603789	26197
86	603788	16436
87	603787	20400
88	603779	20020
89	603778	50000
90	603777	24372
91	603776	9600
92	603768	20400
93	603767	21332
94	603766	211308
95	603758	43880
96	603757	8380
97	603738	11336
98	603737	10000
99	603730	40800
100	603729	6667
101	603728	32000
102	603727	23415
103	603726	9472
104	603721	10000
105	603718	64400
106	603717	17272
107	603716	5094
108	603708	46800
109	603707	42350
110	603703	22970
111	603701	11952
112	603699	75000
113	603698	41230
114	603696	12000
115	603690	21040
116	603689	33600
117	603688	33734
118	603686	27235
119	603679	10000
120	603678	45267
121	603677	14018
122	603676	42300
123	603669	26000
124	603668	29680
125	603667	20240
126	603665	10000
127	603663	13415
128	603660	25000
129	603658	42000
130	603656	10635
131	603639	12000
132	603638	17600
133	603637	13300
134	603636	40684
135	603633	12035
136	603630	17440
137	603628	27380
138	603626	29494
139	603618	68688
140	603617	10000
141	603616	29336
142	603615	24000
143	603612	24071
144	603611	19141
145	603609	83118
146	603608	39592
147	603606	31097
148	603603	40001
149	603602	8000
150	603601	38616
151	603600	25305
152	603599	37648
153	603598	27112
154	603595	10000
155	603589	60000
156	603588	66220
157	603586	20937
158	603585	15000
159	603580	6667
160	603579	14000
161	603578	8800
162	603577	17502
163	603569	40001
164	603568	68721
165	603567	84916
166	603566	32374
167	603559	13200
168	603558	40262
169	603557	46998
170	603556	38020
171	603555	62861
172	603538	12000
173	603536	12000
174	603535	15040
175	603528	62004
176	603520	12000
177	603519	16000
178	603518	15222
179	603517	41000
180	603515	57948
181	603508	16000
182	603505	24000
183	603501	41600
184	603496	10000
185	603488	20800
186	603458	12416
187	603456	44785
188	603444	7174
189	603429	13600
190	603421	44311
191	603416	14056
192	603399	54326
193	603398	21248
194	603393	16000
195	603389	21896
196	603388	20000
197	603387	13200
198	603385	28416
199	603383	8587
200	603380	16000
201	603377	42000
202	603369	125450
203	603368	18506
204	603366	80000
205	603360	13334
206	603358	16000
207	603357	32468
208	603355	40100
209	603345	21604
210	603339	21025
211	603338	16250
212	603337	20667
213	603336	13335
214	603335	25334
215	603333	52001
216	603331	12726
217	603330	6000
218	603328	99772
219	603326	16000
220	603323	144809
221	603322	8000
222	603320	10000
223	603319	8092
224	603318	36525
225	603316	20328
226	603315	20000
227	603313	24000
228	603311	21000
229	603309	20000
230	603308	43376
231	603306	23617
232	603305	40060
233	603303	24000
234	603300	40534
235	603299	55944
236	603298	61886
237	603288	270496
238	603286	8808
239	603269	9147
240	603268	8939
241	603266	10000
242	603258	24000
243	603239	27072
244	603238	12000
245	603233	40001
246	603232	6100
247	603229	16000
248	603228	40800
249	603227	65870
250	603226	8667
251	603225	60200
252	603223	12000
253	603222	32000
254	603218	40100
255	603208	8082
256	603203	11960
257	603200	7372
258	603199	11068
259	603198	80000
260	603197	11711
261	603196	24000
262	603189	22080
263	603188	57600
264	603186	12935
265	603181	20000
266	603180	6700
267	603179	15940
268	603178	20000
269	603177	20200
270	603169	102542
271	603168	24815
272	603167	48140
273	603166	59202
274	603165	12668
275	603160	45426
276	603159	10000
277	603158	21882
278	603139	9988
279	603138	10660
280	603133	20800
281	603131	20000
282	603129	13334
283	603128	100542
284	603126	61050
285	603123	52415
286	603118	78296
287	603117	46233
288	603116	40880
289	603113	67594
290	603111	73839
291	603108	57954
292	603101	24000
293	603100	39500
294	603099	26667
295	603098	40001
296	603096	13466
297	603090	10000
298	603089	10667
299	603088	8000
300	603086	8000
301	603085	22384
302	603081	40180
303	603079	8000
304	603078	6000
305	603077	883126
306	603069	31600
307	603067	22000
308	603066	30237
309	603063	42000
310	603060	22000
311	603058	42156
312	603050	16001
313	603043	40400
314	603042	13600
315	603041	10000
316	603040	6108
317	603039	6667
318	603038	6670
319	603037	10400
320	603036	20336
321	603035	28000
322	603033	12698
323	603032	13334
324	603031	8000
325	603030	53866
326	603029	9334
327	603028	22080
328	603027	32000
329	603026	20268
330	603025	45063
331	603023	36000
332	603022	20000
333	603021	31995
334	603020	32000
335	603019	64303
336	603018	21152
337	603017	27538
338	603016	14816
339	603015	40587
340	603012	63656
341	603011	44620
342	603010	25440
343	603009	32816
344	603008	39426
345	603007	33338
346	603006	19284
347	603005	23271
348	603003	44112
349	603002	61442
350	603001	40098
351	603000	110570
352	601999	55092
353	601998	4893480
354	601997	229860
355	601996	95819
356	601992	1067778
357	601991	1331004
358	601989	1907990
359	601988	29438780
360	601985	1556543
361	601969	195473
362	601968	83334
363	601966	120000
364	601965	96118
365	601958	322661
366	601952	106000
367	601949	182250
368	601939	25001098
369	601933	957047
370	601929	311081
371	601928	254490
372	601919	1021628
373	601908	199530
374	601901	823211
375	601900	81910
376	601899	2303122
377	601898	1325867
378	601890	95940
379	601888	195248
380	601886	115405
381	601882	52200
382	601881	1013726
383	601880	1289454
384	601878	333334
385	601877	215114
386	601872	529946
387	601866	1168313
388	601858	79050
389	601857	18302098
390	601818	4667910
391	601811	123385
392	601808	477160
393	601801	198921
394	601800	1617474
395	601799	27616
396	601798	35453
397	601789	97608
398	601788	461079
399	601777	123664
400	601766	2869887
401	601727	1343117
402	601718	439163
403	601717	173248
404	601700	113324
405	601699	299141
406	601689	72758
407	601688	716277
408	601678	118800
409	601677	51330
410	601669	1529904
411	601668	3000000
412	601666	236117
413	601636	268444
414	601633	912727
415	601628	2826471
416	601619	193300
417	601618	2072362
418	601616	93558
419	601611	262500
420	601608	433942
421	601607	268892
422	601601	906200
423	601600	1490380
424	601599	89407
425	601595	37350
426	601588	336702
427	601579	49736
428	601567	141844
429	601566	57464
430	601555	300000
431	601518	121320
432	601515	111200
433	601500	72692
434	601398	35640626
435	601390	2284431
436	601388	202540
437	601377	669668
438	601375	392374
439	601369	163878
440	601368	73582
441	601366	86051
442	601339	150000
443	601336	311955
444	601333	708354
445	601328	7426273
446	601326	558742
447	601318	1828025
448	601313	39719
449	601311	84840
450	601288	32479412
451	601258	667467
452	601238	650073
453	601233	123194
454	601231	217593
455	601229	780579
456	601228	619318
457	601226	115500
458	601225	1000000
459	601222	176410
460	601218	99176
461	601216	843802
462	601212	697297
463	601211	871394
464	601208	62661
465	601200	70255
466	601199	93521
467	601198	275797
468	601188	131588
469	601186	1357955
470	601179	512589
471	601177	40006
472	601169	1824802
473	601168	238300
474	601166	2077420
475	601163	80000
476	601158	480000
477	601155	225849
478	601139	221410
479	601137	62722
480	601128	222273
481	601127	89250
482	601126	81318
483	601118	393118
484	601117	493300
485	601116	41076
486	601113	83305
487	601111	1452482
488	601107	305806
489	601101	120000
490	601100	63000
491	601099	681632
492	601098	179600
493	601088	1988963
494	601069	63600
495	601058	229394
496	601038	98585
497	601028	78303
498	601021	80058
499	601020	52636
500	601018	1317285
501	601016	415556
502	601015	93000
