1	603999
2	603998
3	603997
4	603996
5	603993
6	603991
7	603990
8	603989
9	603988
10	603987
11	603986
12	603985
13	603980
14	603979
15	603978
16	603977
17	603976
18	603969
19	603968
20	603966
21	603960
22	603959
23	603958
24	603955
25	603939
26	603938
27	603936
28	603933
29	603929
30	603928
31	603926
32	603920
33	603919
34	603918
35	603909
36	603908
37	603906
38	603903
39	603901
40	603900
41	603899
42	603898
43	603896
44	603889
45	603888
46	603887
47	603886
48	603885
49	603883
50	603881
51	603880
52	603879
53	603878
54	603877
55	603869
56	603868
57	603866
58	603861
59	603860
60	603859
61	603858
62	603855
63	603843
64	603839
65	603838
66	603833
67	603828
68	603826
69	603825
70	603823
71	603822
72	603819
73	603818
74	603817
75	603816
76	603811
77	603808
78	603806
79	603803
80	603801
81	603800
82	603799
83	603798
84	603797
85	603789
86	603788
87	603787
88	603779
89	603778
90	603777
91	603776
92	603768
93	603767
94	603766
95	603758
96	603757
97	603738
98	603737
99	603730
100	603729
101	603728
102	603727
103	603726
104	603721
105	603718
106	603717
107	603716
108	603708
109	603707
110	603703
111	603701
112	603699
113	603698
114	603696
115	603690
116	603689
117	603688
118	603686
119	603679
120	603678
121	603677
122	603676
123	603669
124	603668
125	603667
126	603665
127	603663
128	603660
129	603658
130	603656
131	603639
132	603638
133	603637
134	603636
135	603633
136	603630
137	603628
138	603626
139	603618
140	603617
141	603616
142	603615
143	603612
144	603611
145	603609
146	603608
147	603606
148	603603
149	603602
150	603601
151	603600
152	603599
153	603598
154	603595
155	603589
156	603588
157	603586
158	603585
159	603580
160	603579
161	603578
162	603577
163	603569
164	603568
165	603567
166	603566
167	603559
168	603558
169	603557
170	603556
171	603555
172	603538
173	603536
174	603535
175	603528
176	603520
177	603519
178	603518
179	603517
180	603515
181	603508
182	603505
183	603501
184	603496
185	603488
186	603458
187	603456
188	603444
189	603429
190	603421
191	603416
192	603399
193	603398
194	603393
195	603389
196	603388
197	603387
198	603385
199	603383
200	603380
201	603377
202	603369
203	603368
204	603366
205	603360
206	603358
207	603357
208	603355
209	603345
210	603339
211	603338
212	603337
213	603336
214	603335
215	603333
216	603331
217	603330
218	603328
219	603326
220	603323
221	603322
222	603320
223	603319
224	603318
225	603316
226	603315
227	603313
228	603311
229	603309
230	603308
231	603306
232	603305
233	603303
234	603300
235	603299
236	603298
237	603288
238	603286
239	603269
240	603268
241	603266
242	603258
243	603239
244	603238
245	603233
246	603232
247	603229
248	603228
249	603227
250	603226
251	603225
252	603223
253	603222
254	603218
255	603208
256	603203
257	603200
258	603199
259	603198
260	603197
261	603196
262	603189
263	603188
264	603186
265	603181
266	603180
267	603179
268	603178
269	603177
270	603169
271	603168
272	603167
273	603166
274	603165
275	603160
276	603159
277	603158
278	603139
279	603138
280	603133
281	603131
282	603129
283	603128
284	603126
285	603123
286	603118
287	603117
288	603116
289	603113
290	603111
291	603108
292	603101
293	603100
294	603099
295	603098
296	603096
297	603090
298	603089
299	603088
300	603086
301	603085
302	603081
303	603079
304	603078
305	603077
306	603069
307	603067
308	603066
309	603063
310	603060
311	603058
312	603050
313	603043
314	603042
315	603041
316	603040
317	603039
318	603038
319	603037
320	603036
321	603035
322	603033
323	603032
324	603031
325	603030
326	603029
327	603028
328	603027
329	603026
330	603025
331	603023
332	603022
333	603021
334	603020
335	603019
336	603018
337	603017
338	603016
339	603015
340	603012
341	603011
342	603010
343	603009
344	603008
345	603007
346	603006
347	603005
348	603003
349	603002
350	603001
351	603000
352	601999
353	601998
354	601997
355	601996
356	601992
357	601991
358	601989
359	601988
360	601985
361	601969
362	601968
363	601966
364	601965
365	601958
366	601952
367	601949
368	601939
369	601933
