b'000000'	29	27	28	30.0	3.0	0.0	4.0	5.0	6.0
b'603999'	29	27	28	30.0	8.02	-3.25693606755	4.0	8.26	7.95
b'603998'	29	27	28	30.0	11.13	-0.802139037433	4.0	11.21	10.98
b'603997'	29	27	28	30.0	11.3	-1.22377622378	4.0	11.44	11.25
b'603996'	29	27	28	30.0	17.71	0.0	4.0	17.75	17.47
b'603993'	29	27	28	30.0	7.82	0.514138817481	4.0	7.96	7.74
b'603991'	29	27	28	30.0	27.33	-1.08577633008	4.0	27.76	27.2
b'603990'	29	27	28	30.0	35.11	-2.47222222222	4.0	36.19	35.0
b'603989'	29	27	28	30.0	37.23	0.404530744337	4.0	37.4	36.48
b'603988'	29	27	28	30.0	40.14	-1.76211453744	4.0	41.32	39.92
b'603987'	29	27	28	30.0	12.05	-1.06732348112	4.0	12.28	12.04
b'603986'	29	27	28	30.0	163.12	0.0	4.0	0.0	0.0
b'603985'	29	27	28	30.0	36.17	-3.34045964725	4.0	37.8	35.71
b'603980'	29	27	28	30.0	20.65	-2.3178807947	4.0	21.27	20.56
b'603979'	29	27	28	30.0	10.83	0.837988826816	4.0	10.85	10.63
b'603978'	1	9	52	80.29	79.18	1.13679908034	4.0	81.1	77.5
b'603977'	29	27	28	30.0	13.09	-1.50489089541	4.0	13.39	13.05
b'603976'	29	27	28	30.0	26.0	-1.40310959424	4.0	26.77	25.42
b'603970'	29	27	28	30.0	29.94	1.35409614083	4.0	30.2	28.58
b'603969'	29	27	28	30.0	13.11	-2.81690140845	4.0	13.62	13.03
b'603968'	29	27	28	30.0	18.89	-1.61458333333	4.0	19.29	18.88
b'603966'	29	27	28	30.0	15.16	-2.4453024453	4.0	15.54	15.05
b'603963'	29	27	28	30.0	27.82	-1.76553672316	4.0	28.57	27.0
b'603960'	29	27	28	30.0	27.87	0.287873335732	4.0	28.15	27.51
b'603959'	29	27	28	30.0	30.93	-0.833600512985	4.0	31.44	30.15
b'603958'	29	27	28	30.0	14.02	-1.61403508772	4.0	14.4	14.0
b'603955'	29	27	28	30.0	38.43	-1.63808548759	4.0	39.14	38.2
b'603939'	29	27	28	30.0	43.92	-4.48020878643	4.0	46.18	43.91
b'603938'	29	27	28	30.0	32.95	-2.63002364066	4.0	33.85	32.35
b'603937'	1	9	43	24.57	24.4	1.79390905298	4.0	24.79	23.95
b'603936'	29	27	28	30.0	24.12	1.0896898575	4.0	24.15	23.57
b'603933'	29	27	28	30.0	49.8	2.46913580247	4.0	49.85	48.2
b'603929'	29	27	28	30.0	22.87	-3.09322033898	4.0	23.85	22.8
b'603928'	29	27	28	30.0	14.97	-1.57790927022	4.0	15.2	14.92
b'603926'	29	27	28	30.0	27.49	1.77711958534	4.0	27.96	26.67
b'603922'	29	27	28	30.0	28.02	1.48496921405	4.0	28.22	27.34
b'603920'	29	27	28	30.0	17.86	0.619718309859	4.0	18.05	17.6
b'603919'	29	27	28	30.0	18.24	-4.10094637224	4.0	19.08	18.2
b'603918'	29	27	28	30.0	17.68	-1.22905027933	4.0	17.99	17.45
b'603917'	29	27	28	30.0	26.98	2.62457208064	4.0	27.15	26.3
b'603916'	29	27	28	30.0	18.32	2.06128133705	4.0	18.38	17.85
b'603912'	1	13	15	28.88	28.73	3.45696795103	4.0	28.98	27.65
b'603909'	29	27	28	30.0	31.13	-0.986005089059	4.0	31.75	30.71
b'603908'	29	27	28	30.0	34.23	-2.00400801603	4.0	35.46	33.94
b'603906'	29	27	28	30.0	15.31	-1.22580645161	4.0	15.59	15.3
b'603903'	29	27	28	30.0	35.46	-5.96658711217	4.0	37.62	35.0
b'603901'	29	27	28	30.0	8.68	-1.9209039548	4.0	8.88	8.67
b'603900'	29	27	28	30.0	30.06	0.838644750084	4.0	30.24	28.93
b'603899'	29	27	28	30.0	25.02	0.0399840063974	4.0	25.62	24.26
b'603898'	29	27	28	30.0	30.22	0.432037221668	4.0	30.51	29.71
b'603896'	29	27	28	30.0	48.88	-2.61008168958	4.0	50.59	48.7
b'603890'	29	27	28	30.0	37.35	0.836933045356	4.0	37.75	36.8
b'603889'	29	27	28	30.0	14.61	0.550584996559	4.0	14.72	14.5
b'603888'	29	27	28	30.0	23.36	-1.88996220076	4.0	24.3	23.2
b'603887'	29	27	28	30.0	29.63	0.0	4.0	0.0	0.0
b'603886'	29	27	28	30.0	19.97	-2.44259892526	4.0	20.53	19.81
b'603885'	29	27	28	30.0	15.98	-0.311915159077	4.0	16.2	15.87
b'603883'	29	27	28	30.0	58.02	-1.91039729501	4.0	59.19	57.91
b'603882'	29	27	28	30.0	28.93	-1.53165418652	4.0	29.87	28.66
b'603881'	29	27	28	30.0	42.95	-3.1348669373	4.0	43.6	42.86
b'603880'	29	27	28	30.0	24.05	-3.91530163803	4.0	25.27	23.79
b'603879'	29	27	28	30.0	19.28	-3.45518277416	4.0	20.15	18.57
b'603878'	1	10	2	17.4	17.28	2.73483947681	4.0	17.52	16.83
b'603877'	1	9	38	26.47	27.21	6.16465079984	4.0	27.63	25.81
