0	603999	419904.0	25.138	2.517	0.00039
1	603998	480063.22758	69.625	4.803	0.00073
2	603997	724500.0	19.492	4.393	0.0
3	603996	534267.0	45.641	3.762	0.02043
4	603993	13801914.7325	106.5	3.702	0.00135
5	603991	200424.609622	40.134	4.515	0.0
6	603990	274165.7688	45.173	6.684	0.0005
7	603989	1131300.0	42.852	6.407	0.08996
8	603988	594000.0	165.0	6.017	0.00308
9	603987	366850.905	18.758	3.062	0.0
10	603986	3306111.82101	77.049	20.619	0.0
11	603985	282240.0	22.349	2.893	0.009
12	603980	986500.0	20.638	2.544	0.0
13	603979	585000.0	23.81	1.539	0.00058
14	603978	743680.0	42.063	5.735	0.029
15	603977	283203.48	21.712	3.025	0.01138
16	603976	283500.0	30.172	3.024	0.01185
17	603970	430000.215	39.464	8.542	0.8694
18	603969	455200.0	31.611	2.846	0.00426
19	603968	405074.88	27.514	3.151	0.0
20	603966	245760.0	32.681	3.069	0.00075
21	603963	276800.0	33.349	6.044	0.3612
22	603960	284440.0	45.583	6.841	0.07115
23	603959	638848.0	53.811	7.034	0.0018
24	603958	290827.68	31.631	2.562	0.00273
25	603955	348000.0	37.467	3.354	0.0046
26	603939	1662955.00693	69.155	5.41	0.00156
27	603938	619887.7248	57.333	6.663	0.02929
28	603937	483139.44	41.304	4.707	0.33282
29	603936	482804.75	90.439	4.923	0.0
30	603933	516430.1	41.457	5.36	0.0074
31	603929	520598.4	23.689	5.449	0.05716
32	603928	291312.0	21.25	2.666	0.00032
33	603926	310200.0	20.847	2.701	0.006
34	603922	335488.0	23.613	4.34	0.00281
35	603920	684265.4	20.035	2.944	0.02151
36	603919	665756.0	21.518	3.802	0.0
37	603918	319185.0	112.5	6.666	0.003
38	603917	274400.0	26.262	4.633	0.05357
39	603916	472720.0	26.81	2.874	0.0275
40	603912	372072.0	46.556	8.915	0.04108
41	603909	308600.0	46.68	5.02	0.0
42	603908	225879.03	35.653	5.051	0.0
43	603906	304096.0	25.649	2.61	0.0
44	603903	367876.16	58.361	5.344	0.00195
45	603901	342000.0	38.864	3.655	0.00396
46	603900	943112.5368	23.475	4.248	0.00963
47	603899	2229160.0	45.222	8.285	0.00045
48	603898	912363.244248	33.349	4.746	0.00146
49	603896	824820.0	76.623	9.918	0.06724
50	603890	509366.0	24.143	7.002	0.0692
51	603889	573943.257144	29.16	2.653	0.02173
52	603888	1202591.02712	13.629	4.553	0.0
53	603887	248024.0	34.899	3.06	0.00017
54	603886	444000.0	26.812	3.67	0.005
55	603885	2557150.17777	13.951	2.989	0.01166
56	603883	1752698.33117	55.414	8.032	0.00024
57	603882	1456072.95486	72.273	8.764	0.03014
58	603881	1003865.88364	95.34	11.639	0.03001
59	603880	245000.0	35.507	4.664	0.0304
60	603879	248544.0	39.227	4.857	0.02194
61	603878	327038.0	20.494	1.642	0.00881
62	603877	1225896.6876	24.99	4.064	0.00018
63	603869	726912.262512	30.647	1.982	0.0
64	603868	3310560.0	52.055	15.223	0.00872
65	603866	1814263.23	39.742	7.61	0.00068
66	603861	679106.0	40.786	3.492	0.00496
67	603860	238314.32	33.093	4.506	0.71583
68	603859	252216.76	47.105	3.973	0.00281
69	603858	3448544.4	17.661	2.73	0.00052
70	603856	374759.8	28.788	3.04	0.02574
71	603855	380068.36	24.957	2.796	0.01679
72	603848	762301.0	45.262	10.058	0.13561
73	603843	566004.245	52.407	4.586	0.0014
74	603839	683050.297046	21.482	2.74	0.0
75	603838	312282.28	53.227	4.572	0.0001
76	603833	5129594.47494	48.016	8.369	0.0
77	603829	270240.0	38.386	5.918	0.02525
78	603828	327254.833125	35.393	3.124	0.0
79	603826	540360.0	37.264	4.839	0.04611
80	603825	464800.0	33.779	4.086	0.0
81	603823	375300.0	21.947	3.068	0.46401
82	603822	244622.25	52.281	3.772	0.0
83	603819	186120.0	31.653	2.521	0.05615
84	603818	700037.52	38.053	4.608	0.0
85	603817	551700.0	42.276	3.959	0.00178
86	603816	2507621.837	35.072	6.411	0.00191
87	603813	252893.55	46.21	4.585	0.03534
88	603811	246228.0	27.009	4.288	0.00892
89	603809	355211.1	21.097	2.979	0.0075
90	603808	745100.040685	26.995	3.798	0.00035
91	603806	1382478.0	16.299	2.873	0.00065
92	603803	736847.22475	25.0	3.054	0.0007
93	603801	846080.0	35.691	5.223	0.00725
94	603800	324272.0	-54.001	3.5	0.00089
95	603799	4859948.3824	630.769	9.191	0.00541
96	603798	344000.0	14.215	4.189	0.0
97	603797	406626.04	47.65	4.064	0.01987
98	603789	397393.9268	91.386	3.597	0.15548
99	603788	565374.31656	30.442	3.211	0.00059
100	603787	273564.0	26.82	3.117	0.00294
101	603779	381672.84864	50.364	4.155	0.01955
102	603778	350000.0	17.5	3.639	0.00769
103	603777	619534.4606	36.841	3.268	0.00167
104	603776	553824.0	35.611	4.601	0.01875
105	603768	357408.0	18.062	2.208	0.0
106	603767	317846.8	22.576	2.272	0.12713
107	603766	1455910.29415	6.625	2.295	0.0023
108	603758	575701.728288	23.018	2.373	0.0055
109	603757	465173.8	28.321	5.541	0.0019
110	603738	254710.932	20.615	4.476	0.0092
111	603737	697182.3276	45.792	6.644	0.0
112	603730	1411680.0	28.13	4.795	0.00104
113	603729	367218.36	105.923	4.437	0.00554
114	603728	757120.0	36.211	4.607	0.00725
115	603727	554689.505	18.364	2.315	0.02994
116	603726	276108.8	37.857	3.489	0.0
117	603725	288959.6	30.308	3.788	0.009
118	603722	334835.4	54.394	8.451	0.13088
119	603721	255900.0	48.283	4.774	0.0052
